PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANNO,MES,MEDIA_MAGS
46,17,2,17,46017002,2015,10,0.5328571428571428
3,65,7,17,3065007,2015,10,0.2354545454545454
3,105,1,17,3105001,2015,10,0.18142857142857144
12,40,15,17,12040015,2015,10,0.43142857142857144
12,99,1,17,12099001,2015,10,0.2684615384615385
12,80,7,17,12080007,2015,10,0.13692307692307695
12,5,4,17,12005004,2015,10,0.7414285714285714
12,84,3,17,12084003,2015,10,0.4191666666666667
3,14,6,17,3014006,2015,10,0.2714285714285714
12,135,4,17,12135004,2015,11,2.005
12,124,1,17,12124001,2015,11,0.6583333333333333
12,40,15,17,12040015,2015,11,0.7427272727272727
3,65,6,17,3065006,2015,11,0.2918181818181818
46,78,4,17,46078004,2015,11,0.3792857142857143
46,131,2,17,46131002,2015,11,0.19181818181818186
12,5,4,17,12005004,2015,11,1.3211111111111111
12,46,1,17,12046001,2015,11,0.196
3,105,1,17,3105001,2015,11,0.22166666666666665
46,17,2,17,46017002,2015,11,0.3553846153846154
12,84,3,17,12084003,2015,11,0.505
46,250,50,17,46250050,2015,11,0.528
3,9,6,17,3009006,2015,11,0.15461538461538463
12,99,1,17,12099001,2015,11,0.2492307692307692
46,190,5,17,46190005,2015,11,0.32357142857142857
46,250,43,17,46250043,2015,11,0.3984615384615384
3,65,7,17,3065007,2015,11,0.2422222222222222
12,80,7,17,12080007,2015,11,0.10363636363636365
12,32,5,17,12032005,2015,11,1.4666666666666663
3,14,6,17,3014006,2015,11,0.2707692307692308
46,220,9,17,46220009,2015,11,0.3169230769230769
3,2,2,17,3002002,2015,11,0.13625
46,250,50,17,46250050,2015,12,0.6825000000000001
12,46,1,17,12046001,2015,12,0.336
12,135,4,17,12135004,2015,12,1.0175
3,105,1,17,3105001,2015,12,0.23357142857142854
12,80,7,17,12080007,2015,12,0.13142857142857142
46,190,5,17,46190005,2015,12,0.35000000000000003
12,84,3,17,12084003,2015,12,0.5457142857142857
46,250,43,17,46250043,2015,12,0.46071428571428574
12,124,1,17,12124001,2015,12,0.6911111111111112
3,2,2,17,3002002,2015,12,0.268
46,78,4,17,46078004,2015,12,0.5492857142857143
46,131,2,17,46131002,2015,12,0.37666666666666665
3,65,6,17,3065006,2015,12,0.3771428571428571
46,17,2,17,46017002,2015,12,0.5199999999999999
3,14,6,17,3014006,2015,12,0.374
12,40,15,17,12040015,2015,12,0.6930769230769228
3,65,7,17,3065007,2015,12,0.37363636363636366
12,5,4,17,12005004,2015,12,1.0419999999999998
46,220,9,17,46220009,2015,12,0.3807142857142858
