MES,MAGNITUD,ANNO,PROVINCIA,MEDIA_VAL
8,10,2018,1,17.276234364713627
9,10,2018,1,17.01331327402756
10,10,2018,1,14.334348255431205
11,10,2018,1,10.104322344322345
12,10,2018,1,12.58603857313535
1,17,2018,1,0.4244123315625
2,17,2018,1,0.5042350721666666
3,17,2018,1,0.22994505955000005
4,17,2018,1,0.3490116540434782
5,17,2018,1,0.4537267598
6,17,2018,1,0.3747479607777777
7,17,2018,1,0.3625953934000001
8,17,2018,1,0.24647181400000004
9,17,2018,1,0.42471146547619043
10,17,2018,1,0.42347417480645144
11,17,2018,1,0.28234488043333333
12,17,2018,1,0.33430775464516116
1,19,2018,1,0.011236898937500002
2,19,2018,1,0.010000000000000002
3,19,2018,1,0.010878230100000002
4,19,2018,1,0.014705803782608698
5,19,2018,1,0.014592898800000004
6,19,2018,1,0.0170119082962963
7,19,2018,1,0.013836361
8,19,2018,1,0.010000000000000004
9,19,2018,1,0.013525909285714288
10,19,2018,1,0.015973958032258068
11,19,2018,1,0.010728367366666667
12,19,2018,1,0.012171501612903226
1,27,2018,1,0.18476509455555556
2,27,2018,1,0.06958610300000001
3,27,2018,1,0.057955065142857136
4,27,2018,1,0.05
5,27,2018,1,0.05
6,27,2018,1,0.05
7,27,2018,1,0.05
8,27,2018,1,0.058874613142857135
9,27,2018,1,0.05
10,27,2018,1,0.06615005612500001
11,27,2018,1,0.11414586442857143
12,27,2018,1,0.2465255385714286
1,28,2018,1,0.22803799756250004
2,28,2018,1,0.20000000000000004
3,28,2018,1,0.20000000000000004
4,28,2018,1,0.20000000000000007
5,28,2018,1,0.19999999999999998
6,28,2018,1,0.20000000000000004
7,28,2018,1,0.19999999999999998
8,28,2018,1,0.20000000000000004
9,28,2018,1,0.2117535243333334
10,28,2018,1,0.20000000000000007
11,28,2018,1,0.20000000000000007
12,28,2018,1,0.20000000000000007
1,62,2018,1,3.0189676901875
2,62,2018,1,2.6318799971111115
3,62,2018,1,2.0
4,62,2018,1,3.4602372318260866
5,62,2018,1,3.356117388
6,62,2018,1,2.570845835518518
7,62,2018,1,2.0
8,62,2018,1,2.0
9,62,2018,1,2.1292349722857145
10,62,2018,1,2.0
11,62,2018,1,2.0
12,62,2018,1,2.090230072935484
1,17,2019,1,0.3451612903225805
2,17,2019,1,0.37777777777777777
3,17,2019,1,0.4096774193548387
4,17,2019,1,0.26333333333333336
5,17,2019,1,0.42580645161290315
6,17,2019,1,0.39583333333333326
7,17,2019,1,0.36451612903225794
8,17,2019,1,0.20645161290322586
9,17,2019,1,0.4357142857142856
10,17,2019,1,0.4741935483870967
11,17,2019,1,0.22000000000000006
12,17,2019,1,0.2655172413793104
1,19,2019,1,0.011935483870967744
2,19,2019,1,0.015185185185185187
3,19,2019,1,0.01741935483870968
4,19,2019,1,0.011333333333333336
5,19,2019,1,0.014516129032258067
6,19,2019,1,0.012083333333333335
7,19,2019,1,0.017096774193548388
8,19,2019,1,0.010000000000000002
9,19,2019,1,0.017142857142857144
