MES,MAGNITUD,ANNO,PROVINCIA,MEDIA_VAL,CERO,B,C,ECO,Sin_distintivo,Se_desconoce,VEHICULO
1.0,19.0,2018.0,1.0,0.011236898937500002,0.0,0.0,38.0,0.0,0.0,1.0,2.0
1.0,27.0,2018.0,1.0,0.18476509455555556,4.0,15.0,510.0,38.0,5.0,52.0,1.0
1.0,27.0,2018.0,1.0,0.18476509455555556,0.0,0.0,38.0,0.0,0.0,1.0,2.0
1.0,28.0,2018.0,1.0,0.22803799756250004,4.0,15.0,510.0,38.0,5.0,52.0,1.0
1.0,28.0,2018.0,1.0,0.22803799756250004,0.0,0.0,38.0,0.0,0.0,1.0,2.0
1.0,62.0,2018.0,1.0,3.0189676901875,4.0,15.0,510.0,38.0,5.0,52.0,1.0
1.0,62.0,2018.0,1.0,3.0189676901875,0.0,0.0,38.0,0.0,0.0,1.0,2.0
2.0,9.0,2018.0,1.0,6.097859856193189,4.0,15.0,540.0,40.0,5.0,56.0,1.0
2.0,9.0,2018.0,1.0,6.097859856193189,0.0,0.0,41.0,0.0,0.0,1.0,2.0
2.0,10.0,2018.0,1.0,9.988816326530612,4.0,15.0,540.0,40.0,5.0,56.0,1.0
2.0,10.0,2018.0,1.0,9.988816326530612,0.0,0.0,41.0,0.0,0.0,1.0,2.0
2.0,17.0,2018.0,1.0,0.5042350721666666,4.0,15.0,540.0,40.0,5.0,56.0,1.0
2.0,17.0,2018.0,1.0,0.5042350721666666,0.0,0.0,41.0,0.0,0.0,1.0,2.0
2.0,19.0,2018.0,1.0,0.010000000000000002,4.0,15.0,540.0,40.0,5.0,56.0,1.0
2.0,19.0,2018.0,1.0,0.010000000000000002,0.0,0.0,41.0,0.0,0.0,1.0,2.0
2.0,27.0,2018.0,1.0,0.06958610300000001,4.0,15.0,540.0,40.0,5.0,56.0,1.0
2.0,27.0,2018.0,1.0,0.06958610300000001,0.0,0.0,41.0,0.0,0.0,1.0,2.0
2.0,28.0,2018.0,1.0,0.20000000000000004,4.0,15.0,540.0,40.0,5.0,56.0,1.0
2.0,28.0,2018.0,1.0,0.20000000000000004,0.0,0.0,41.0,0.0,0.0,1.0,2.0
2.0,62.0,2018.0,1.0,2.6318799971111115,4.0,15.0,540.0,40.0,5.0,56.0,1.0
2.0,62.0,2018.0,1.0,2.6318799971111115,0.0,0.0,41.0,0.0,0.0,1.0,2.0
3.0,9.0,2018.0,1.0,4.400322580645161,4.0,18.0,621.0,46.0,6.0,64.0,1.0
3.0,9.0,2018.0,1.0,4.400322580645161,0.0,0.0,47.0,0.0,0.0,1.0,2.0
3.0,10.0,2018.0,1.0,7.804193173271514,4.0,18.0,621.0,46.0,6.0,64.0,1.0
3.0,10.0,2018.0,1.0,7.804193173271514,0.0,0.0,47.0,0.0,0.0,1.0,2.0
3.0,17.0,2018.0,1.0,0.22994505955000005,4.0,18.0,621.0,46.0,6.0,64.0,1.0
3.0,17.0,2018.0,1.0,0.22994505955000005,0.0,0.0,47.0,0.0,0.0,1.0,2.0
3.0,19.0,2018.0,1.0,0.010878230100000002,4.0,18.0,621.0,46.0,6.0,64.0,1.0
3.0,19.0,2018.0,1.0,0.010878230100000002,0.0,0.0,47.0,0.0,0.0,1.0,2.0
3.0,27.0,2018.0,1.0,0.057955065142857136,4.0,18.0,621.0,46.0,6.0,64.0,1.0
3.0,27.0,2018.0,1.0,0.057955065142857136,0.0,0.0,47.0,0.0,0.0,1.0,2.0
3.0,28.0,2018.0,1.0,0.20000000000000004,4.0,18.0,621.0,46.0,6.0,64.0,1.0
3.0,28.0,2018.0,1.0,0.20000000000000004,0.0,0.0,47.0,0.0,0.0,1.0,2.0
3.0,62.0,2018.0,1.0,2.0,4.0,18.0,621.0,46.0,6.0,64.0,1.0
3.0,62.0,2018.0,1.0,2.0,0.0,0.0,47.0,0.0,0.0,1.0,2.0
4.0,9.0,2018.0,1.0,7.518888888888888,4.0,17.0,584.0,44.0,5.0,60.0,1.0
4.0,9.0,2018.0,1.0,7.518888888888888,0.0,0.0,44.0,0.0,0.0,1.0,2.0
4.0,10.0,2018.0,1.0,15.414029304029304,4.0,17.0,584.0,44.0,5.0,60.0,1.0
4.0,10.0,2018.0,1.0,15.414029304029304,0.0,0.0,44.0,0.0,0.0,1.0,2.0
4.0,17.0,2018.0,1.0,0.3490116540434782,4.0,17.0,584.0,44.0,5.0,60.0,1.0
4.0,17.0,2018.0,1.0,0.3490116540434782,0.0,0.0,44.0,0.0,0.0,1.0,2.0
4.0,19.0,2018.0,1.0,0.014705803782608698,4.0,17.0,584.0,44.0,5.0,60.0,1.0
4.0,19.0,2018.0,1.0,0.014705803782608698,0.0,0.0,44.0,0.0,0.0,1.0,2.0
4.0,27.0,2018.0,1.0,0.05,4.0,17.0,584.0,44.0,5.0,60.0,1.0
4.0,27.0,2018.0,1.0,0.05,0.0,0.0,44.0,0.0,0.0,1.0,2.0
4.0,28.0,2018.0,1.0,0.20000000000000007,4.0,17.0,584.0,44.0,5.0,60.0,1.0
4.0,28.0,2018.0,1.0,0.20000000000000007,0.0,0.0,44.0,0.0,0.0,1.0,2.0
4.0,62.0,2018.0,1.0,3.4602372318260866,4.0,17.0,584.0,44.0,5.0,60.0,1.0
4.0,62.0,2018.0,1.0,3.4602372318260866,0.0,0.0,44.0,0.0,0.0,1.0,2.0
5.0,9.0,2018.0,1.0,8.424731182795698,5.0,19.0,675.0,50.0,6.0,69.0,1.0
5.0,9.0,2018.0,1.0,8.424731182795698,0.0,0.0,51.0,0.0,0.0,1.0,2.0
5.0,10.0,2018.0,1.0,15.127649769585256,5.0,19.0,675.0,50.0,6.0,69.0,1.0
5.0,10.0,2018.0,1.0,15.127649769585256,0.0,0.0,51.0,0.0,0.0,1.0,2.0
5.0,17.0,2018.0,1.0,0.4537267598,5.0,19.0,675.0,50.0,6.0,69.0,1.0
5.0,17.0,2018.0,1.0,0.4537267598,0.0,0.0,51.0,0.0,0.0,1.0,2.0
5.0,19.0,2018.0,1.0,0.014592898800000004,5.0,19.0,675.0,50.0,6.0,69.0,1.0
5.0,19.0,2018.0,1.0,0.014592898800000004,0.0,0.0,51.0,0.0,0.0,1.0,2.0
5.0,27.0,2018.0,1.0,0.05,5.0,19.0,675.0,50.0,6.0,69.0,1.0
5.0,27.0,2018.0,1.0,0.05,0.0,0.0,51.0,0.0,0.0,1.0,2.0
5.0,28.0,2018.0,1.0,0.19999999999999998,5.0,19.0,675.0,50.0,6.0,69.0,1.0
5.0,28.0,2018.0,1.0,0.19999999999999998,0.0,0.0,51.0,0.0,0.0,1.0,2.0
5.0,62.0,2018.0,1.0,3.356117388,5.0,19.0,675.0,50.0,6.0,69.0,1.0
5.0,62.0,2018.0,1.0,3.356117388,0.0,0.0,51.0,0.0,0.0,1.0,2.0
6.0,9.0,2018.0,1.0,8.231349206349206,5.0,20.0,700.0,52.0,6.0,72.0,1.0
6.0,9.0,2018.0,1.0,8.231349206349206,0.0,0.0,53.0,0.0,0.0,1.0,2.0
6.0,10.0,2018.0,1.0,14.564532019704432,5.0,20.0,700.0,52.0,6.0,72.0,1.0
