ANNO,MES,PROVINCIAS,CERO,ECO,B,C
2019,2,Baleares,52,218,58,4418
2017,3,Baleares,17,145,56,4323
2018,3,Baleares,34,175,77,5028
2019,3,Baleares,63,266,70,5389
2017,4,Baleares,14,119,46,3547
2018,4,Baleares,32,165,73,4731
2019,4,Baleares,60,260,68,5275
2017,5,Baleares,17,149,57,4429
2018,5,Baleares,37,190,84,5464
2019,5,Baleares,65,278,73,5633
2017,6,Baleares,18,154,60,4604
2018,6,Baleares,38,197,87,5671
2019,6,Baleares,66,283,74,5736
2017,7,Baleares,16,134,52,3981
2018,7,Baleares,35,184,81,5298
2019,7,Baleares,63,264,70,5367
2017,8,Baleares,11,91,35,2723
2018,8,Baleares,29,149,66,4299
2019,8,Baleares,41,174,46,3527
2017,9,Baleares,12,105,41,3131
2018,9,Baleares,22,111,49,3187
2019,9,Baleares,45,189,50,3834
2017,1,Barcelona,72,736,142,9281
2018,1,Barcelona,152,1183,169,13033
2019,1,Barcelona,252,1447,134,15161
2017,10,Barcelona,86,880,170,11101
2018,10,Barcelona,145,1130,162,12452
2019,10,Barcelona,269,1548,144,16218
2017,11,Barcelona,92,943,182,11887
2018,11,Barcelona,142,1107,159,12196
2019,11,Barcelona,255,1470,137,15404
2017,12,Barcelona,86,883,171,11129
2018,12,Barcelona,148,1153,165,12708
2019,12,Barcelona,269,1548,144,16218
2017,2,Barcelona,81,829,160,10453
2018,2,Barcelona,162,1254,179,13817
2019,2,Barcelona,262,1511,140,15831
2017,3,Barcelona,105,1078,209,13598
2018,3,Barcelona,185,1441,207,15881
2019,3,Barcelona,320,1842,173,19312
2017,4,Barcelona,86,885,171,11157
2018,4,Barcelona,174,1356,194,14943
2019,4,Barcelona,313,1803,167,18904
2017,5,Barcelona,107,1105,214,13929
2018,5,Barcelona,202,1566,224,17256
2019,5,Barcelona,334,1925,180,20186
2017,6,Barcelona,112,1148,222,14480
2018,6,Barcelona,209,1625,232,17911
2019,6,Barcelona,341,1960,183,20553
2017,7,Barcelona,97,993,192,12522
2018,7,Barcelona,195,1519,217,16734
2019,7,Barcelona,319,1834,172,19230
2017,8,Barcelona,66,679,131,8564
2018,8,Barcelona,158,1232,176,13579
2019,8,Barcelona,210,1205,112,12636
2017,9,Barcelona,76,781,151,9846
2018,9,Barcelona,118,914,131,10064
2019,9,Barcelona,227,1309,122,13735
2017,1,Vizcaya,9,68,67,1258
2018,1,Vizcaya,12,109,68,1656
