ANNO,MES,PROVINCIAS,CERO,ECO,B,C
2017,8,Soria,0,4,1,80
2018,8,Soria,0,7,2,116
2019,8,Soria,1,7,2,86
2017,9,Soria,0,5,2,92
2018,9,Soria,0,5,1,86
2019,9,Soria,1,7,2,94
2017,1,Tarragona,3,68,49,978
2018,1,Tarragona,12,95,75,1416
2019,1,Tarragona,26,105,74,1536
2017,10,Tarragona,3,82,59,1170
2018,10,Tarragona,11,91,72,1353
2019,10,Tarragona,29,112,80,1644
2017,11,Tarragona,3,88,63,1253
2018,11,Tarragona,11,89,70,1325
2019,11,Tarragona,26,106,76,1561
2017,12,Tarragona,3,82,59,1173
2018,12,Tarragona,11,93,73,1380
2019,12,Tarragona,29,112,80,1644
2017,2,Tarragona,3,77,55,1102
2018,2,Tarragona,13,101,79,1502
2019,2,Tarragona,28,109,78,1605
2017,3,Tarragona,4,100,72,1433
2018,3,Tarragona,15,116,91,1726
2019,3,Tarragona,33,133,95,1958
2017,4,Tarragona,3,82,59,1176
2018,4,Tarragona,13,109,86,1623
2019,4,Tarragona,33,130,93,1916
2017,5,Tarragona,4,103,74,1468
2018,5,Tarragona,16,126,99,1875
2019,5,Tarragona,36,139,99,2045
2017,6,Tarragona,4,107,77,1526
2018,6,Tarragona,16,131,102,1946
2019,6,Tarragona,36,142,101,2083
2017,7,Tarragona,4,92,66,1320
2018,7,Tarragona,16,122,96,1819
2019,7,Tarragona,33,133,94,1948
2017,8,Tarragona,2,63,45,902
2018,8,Tarragona,13,99,78,1476
2019,8,Tarragona,22,87,62,1281
2017,9,Tarragona,3,73,52,1038
2018,9,Tarragona,10,73,57,1094
2019,9,Tarragona,25,95,67,1392
2017,1,Teruel,0,7,1,146
2018,1,Teruel,1,9,3,177
2019,1,Teruel,0,12,2,165
2017,10,Teruel,0,9,2,174
2018,10,Teruel,1,9,3,170
2019,10,Teruel,0,13,2,177
2017,11,Teruel,0,9,2,187
2018,11,Teruel,1,9,3,166
2019,11,Teruel,0,13,2,167
2017,12,Teruel,0,9,2,175
2018,12,Teruel,1,9,3,173
2019,12,Teruel,0,13,2,177
2017,2,Teruel,0,8,2,164
2018,2,Teruel,1,10,3,188
2019,2,Teruel,0,13,2,171
2017,3,Teruel,0,11,2,213
2018,3,Teruel,1,12,3,216
2019,3,Teruel,0,16,3,209
2017,4,Teruel,0,9,2,175
2018,4,Teruel,1,11,3,203
2019,4,Teruel,0,15,3,205
2017,5,Teruel,0,11,2,219
2018,5,Teruel,1,13,4,235
2019,5,Teruel,0,16,3,219
2017,6,Teruel,0,11,2,227
2018,6,Teruel,1,13,4,243
2019,6,Teruel,1,17,3,223
2017,7,Teruel,0,10,2,197
2018,7,Teruel,1,12,3,227
2019,7,Teruel,0,16,3,208
2017,8,Teruel,0,7,1,134
2018,8,Teruel,1,10,3,185
2019,8,Teruel,0,10,2,138
2017,9,Teruel,0,8,2,155
2018,9,Teruel,1,7,2,137
2019,9,Teruel,0,11,2,150
2017,1,Toledo,47,41,94,2366
2018,1,Toledo,116,150,90,4194
2019,1,Toledo,149,232,82,5134
2017,10,Toledo,57,49,112,2830
2018,10,Toledo,111,143,86,4007
2019,10,Toledo,160,248,88,5492
2017,11,Toledo,61,53,120,3031
2018,11,Toledo,109,140,84,3925
2019,11,Toledo,152,235,83,5215
2017,12,Toledo,57,49,113,2837
2018,12,Toledo,113,146,88,4089
2019,12,Toledo,160,248,88,5492
2017,2,Toledo,53,46,106,2665
2018,2,Toledo,123,159,95,4446
2019,2,Toledo,156,242,86,5361
2017,3,Toledo,69,60,138,3466
2018,3,Toledo,142,183,109,5111
2019,3,Toledo,189,295,104,6538
2017,4,Toledo,57,50,113,2844
2018,4,Toledo,133,172,103,4809
2019,4,Toledo,185,289,102,6401
2017,5,Toledo,71,62,141,3551
2018,5,Toledo,154,199,119,5555
2019,5,Toledo,198,308,109,6834
2017,6,Toledo,74,64,146,3691
2018,6,Toledo,160,206,123,5764
2019,6,Toledo,201,314,111,6959
2017,7,Toledo,64,56,127,3192
2018,7,Toledo,149,192,115,5385
2019,7,Toledo,188,294,104,6511
2017,8,Toledo,44,38,87,2183
2018,8,Toledo,121,156,94,4370
2019,8,Toledo,123,193,68,4278
2017,9,Toledo,50,44,100,2510
2018,9,Toledo,90,116,69,3239
2019,9,Toledo,136,210,74,4651
2017,nan,Total,6588,54975,34755,1046738
2018,nan,Total,15072,95612,43784,1357189
2019,nan,Total,30596,132050,35988,1449065
2017,1,Valencia,12,88,119,3417
2018,1,Valencia,33,147,148,4714
2019,1,Valencia,55,217,100,5054
2017,10,Valencia,14,106,143,4088
2018,10,Valencia,32,141,142,4504
2019,10,Valencia,58,232,107,5406
2017,11,Valencia,16,113,153,4377
2018,11,Valencia,32,138,139,4411
2019,11,Valencia,55,221,102,5135
2017,12,Valencia,15,106,143,4098
2018,12,Valencia,33,144,144,4596
2019,12,Valencia,58,232,107,5406
2017,2,Valencia,14,99,134,3849
2018,2,Valencia,36,156,157,4997
2019,2,Valencia,56,227,105,5278
2017,3,Valencia,18,129,175,5007
2018,3,Valencia,41,179,180,5744
2019,3,Valencia,69,276,128,6438
2017,4,Valencia,15,106,143,4108
2018,4,Valencia,39,169,169,5405
2019,4,Valencia,67,271,125,6302
2017,5,Valencia,18,133,179,5129
2018,5,Valencia,44,195,195,6242
2019,5,Valencia,71,289,134,6730
2017,6,Valencia,19,138,186,5332
2018,6,Valencia,46,202,204,6478
2019,6,Valencia,73,294,136,6852
2017,7,Valencia,16,119,161,4611
2018,7,Valencia,43,189,190,6052
2019,7,Valencia,67,275,127,6411
2017,8,Valencia,11,81,110,3153
2018,8,Valencia,35,153,154,4911
2019,8,Valencia,44,181,84,4214
2017,9,Valencia,13,94,127,3626
2018,9,Valencia,26,114,114,3640
2019,9,Valencia,48,197,91,4581
2017,1,Valladolid,2,32,53,629
2018,1,Valladolid,6,62,48,707
2019,1,Valladolid,7,71,29,704
2017,10,Valladolid,3,38,64,752
2018,10,Valladolid,6,60,46,675
2019,10,Valladolid,7,76,31,752
2017,11,Valladolid,3,41,68,805
2018,11,Valladolid,6,58,45,661
2019,11,Valladolid,7,72,29,714
2017,12,Valladolid,3,38,64,754
2018,12,Valladolid,6,61,47,690
2019,12,Valladolid,7,76,31,752
2017,2,Valladolid,3,36,60,708
2018,2,Valladolid,6,66,51,750
2019,2,Valladolid,7,74,30,735
2017,3,Valladolid,4,47,78,921
2018,3,Valladolid,7,76,58,861
2019,3,Valladolid,8,91,37,895
2017,4,Valladolid,3,38,64,756
2018,4,Valladolid,7,72,55,810
2019,4,Valladolid,8,89,36,876
2017,5,Valladolid,4,48,80,943
2018,5,Valladolid,7,83,64,936
2019,5,Valladolid,9,95,38,935
2017,6,Valladolid,4,50,83,981
2018,6,Valladolid,8,86,66,971
2019,6,Valladolid,9,96,39,952
2017,7,Valladolid,3,43,72,848
2018,7,Valladolid,7,80,62,907
2019,7,Valladolid,8,90,37,891
2017,8,Valladolid,2,29,49,580
2018,8,Valladolid,6,65,50,736
2019,8,Valladolid,6,59,24,586
2017,9,Valladolid,3,34,56,667
2018,9,Valladolid,4,48,37,546
2019,9,Valladolid,7,64,26,637
2017,1,Zamora,0,8,6,113
2018,1,Zamora,1,12,10,140
2019,1,Zamora,2,16,8,149
2017,10,Zamora,0,10,7,136
2018,10,Zamora,1,11,9,134
2019,10,Zamora,2,17,9,159
2017,11,Zamora,1,11,7,145
2018,11,Zamora,1,11,9,131
2019,11,Zamora,2,16,8,150
2017,12,Zamora,0,10,7,136
2018,12,Zamora,1,12,9,136
2019,12,Zamora,2,17,9,159
2017,2,Zamora,0,9,7,128
2018,2,Zamora,1,13,10,149
2019,2,Zamora,2,17,9,156
2017,3,Zamora,1,12,8,166
2018,3,Zamora,1,15,12,171
2019,3,Zamora,2,21,11,188
2017,4,Zamora,0,10,7,136
2018,4,Zamora,1,14,11,161
2019,4,Zamora,2,20,10,185
2017,5,Zamora,1,13,9,170
2018,5,Zamora,1,16,13,186
2019,5,Zamora,2,22,11,197
2017,6,Zamora,1,13,9,177
2018,6,Zamora,1,16,13,192
2019,6,Zamora,2,22,11,202
2017,7,Zamora,1,11,8,153
2018,7,Zamora,1,15,12,180
2019,7,Zamora,2,21,10,188
2017,8,Zamora,0,8,5,105
2018,8,Zamora,1,12,10,146
2019,8,Zamora,1,13,7,123
2017,9,Zamora,0,9,6,120
2018,9,Zamora,0,9,7,108
2019,9,Zamora,2,15,7,136
2017,1,Zaragoza,4,66,41,1158
2018,1,Zaragoza,11,96,48,1331
2019,1,Zaragoza,18,119,38,1308
2017,10,Zaragoza,5,79,50,1385
2018,10,Zaragoza,11,91,46,1272
2019,10,Zaragoza,18,127,41,1401
2017,11,Zaragoza,5,84,53,1483
2018,11,Zaragoza,11,89,45,1246
2019,11,Zaragoza,18,121,39,1331
2017,12,Zaragoza,5,79,50,1388
2018,12,Zaragoza,11,93,47,1298
2019,12,Zaragoza,18,127,41,1401
2017,2,Zaragoza,5,74,47,1304
2018,2,Zaragoza,12,101,51,1412
2019,2,Zaragoza,18,124,40,1368
2017,3,Zaragoza,6,97,61,1696
2018,3,Zaragoza,13,116,58,1622
2019,3,Zaragoza,20,151,49,1669
2017,4,Zaragoza,5,79,50,1392
2018,4,Zaragoza,13,110,55,1527
2019,4,Zaragoza,20,148,48,1633
2017,5,Zaragoza,6,99,62,1738
2018,5,Zaragoza,14,127,63,1764
2019,5,Zaragoza,23,158,51,1744
2017,6,Zaragoza,7,103,65,1806
2018,6,Zaragoza,15,131,66,1830
2019,6,Zaragoza,23,161,52,1776
2017,7,Zaragoza,6,89,56,1562
2018,7,Zaragoza,14,123,61,1710
2019,7,Zaragoza,20,151,49,1660
2017,8,Zaragoza,4,61,38,1068
2018,8,Zaragoza,12,100,50,1387
2019,8,Zaragoza,14,99,32,1092
2017,9,Zaragoza,4,70,44,1228
2018,9,Zaragoza,8,74,37,1028
2019,9,Zaragoza,15,108,35,1187
2017,1,Ávila,1,9,3,94
2018,1,Ávila,1,13,3,136
2019,1,Ávila,1,16,4,104
2017,10,Ávila,1,11,4,113
2018,10,Ávila,1,13,3,130
2019,10,Ávila,1,17,4,110
2017,11,Ávila,1,12,4,121
2018,11,Ávila,1,13,3,128
2019,11,Ávila,1,16,4,105
2017,12,Ávila,1,11,4,113
2018,12,Ávila,1,13,3,133
2019,12,Ávila,1,17,4,110
2017,2,Ávila,1,10,4,106
2018,2,Ávila,1,14,3,144
2019,2,Ávila,1,16,4,108
2017,3,Ávila,1,14,5,138
2018,3,Ávila,1,16,4,165
2019,3,Ávila,2,20,4,132
2017,4,Ávila,1,11,4,113
2018,4,Ávila,1,15,4,156
2019,4,Ávila,2,20,4,130
2017,5,Ávila,1,14,5,142
2018,5,Ávila,1,18,4,180
2019,5,Ávila,2,21,5,138
2017,6,Ávila,1,14,5,147
2018,6,Ávila,1,18,4,187
2019,6,Ávila,2,21,5,140
2017,7,Ávila,1,12,4,127
2018,7,Ávila,1,17,4,174
2019,7,Ávila,2,20,4,132
2017,8,Ávila,1,9,3,87
2018,8,Ávila,1,14,3,142
2019,8,Ávila,1,13,3,87
2017,9,Ávila,1,10,3,100
2018,9,Ávila,1,10,2,105
2019,9,Ávila,1,14,3,93
