PUNTO_MUESTREO,MES,MAGNITUD,ANO,PROVINCIA,MEDIA_MAGS,LONGITUD,LATITUD
28079008,01,1,2019,28,11.32258064516129,-3.6823158,40.4215533
28079008,02,1,2019,28,8.96774193548387,-3.6823158,40.4215533
28079008,03,1,2019,28,9.096774193548388,-3.6823158,40.4215533
28079008,04,1,2019,28,8.419354838709678,-3.6823158,40.4215533
28079008,05,1,2019,28,9.129032258064516,-3.6823158,40.4215533
28079008,06,1,2019,28,9.193548387096774,-3.6823158,40.4215533
28079008,07,1,2019,28,9.419354838709678,-3.6823158,40.4215533
28079008,08,1,2019,28,2.6451612903225805,-3.6823158,40.4215533
28079008,09,1,2019,28,4.32258064516129,-3.6823158,40.4215533
28079008,10,1,2019,28,5.419354838709677,-3.6823158,40.4215533
28079008,11,1,2019,28,5.258064516129032,-3.6823158,40.4215533
28079008,12,1,2019,28,6.516129032258065,-3.6823158,40.4215533
28079008,01,10,2019,28,25.516129032258064,-3.6823158,40.4215533
28079008,02,10,2019,28,27.612903225806452,-3.6823158,40.4215533
28079008,03,10,2019,28,25.35483870967742,-3.6823158,40.4215533
28079008,04,10,2019,28,14.0,-3.6823158,40.4215533
28079008,05,10,2019,28,14.935483870967742,-3.6823158,40.4215533
28079008,06,10,2019,28,24.548387096774192,-3.6823158,40.4215533
28079008,07,10,2019,28,27.483870967741936,-3.6823158,40.4215533
28079008,08,10,2019,28,10.419354838709678,-3.6823158,40.4215533
28079008,09,10,2019,28,17.548387096774192,-3.6823158,40.4215533
28079008,10,10,2019,28,22.193548387096776,-3.6823158,40.4215533
28079008,11,10,2019,28,10.838709677419354,-3.6823158,40.4215533
28079008,12,10,2019,28,16.612903225806452,-3.6823158,40.4215533
28079008,01,12,2019,28,165.6451612903226,-3.6823158,40.4215533
28079008,02,12,2019,28,128.7741935483871,-3.6823158,40.4215533
28079008,03,12,2019,28,85.25806451612904,-3.6823158,40.4215533
28079008,04,12,2019,28,65.16129032258064,-3.6823158,40.4215533
28079008,05,12,2019,28,56.25806451612903,-3.6823158,40.4215533
28079008,06,12,2019,28,52.83870967741935,-3.6823158,40.4215533
28079008,07,12,2019,28,45.67741935483871,-3.6823158,40.4215533
28079008,08,12,2019,28,31.548387096774192,-3.6823158,40.4215533
28079008,09,12,2019,28,63.0,-3.6823158,40.4215533
28079008,10,12,2019,28,96.7741935483871,-3.6823158,40.4215533
28079008,11,12,2019,28,70.58064516129032,-3.6823158,40.4215533
28079008,12,12,2019,28,100.38709677419355,-3.6823158,40.4215533
28079008,01,14,2019,28,24.096774193548388,-3.6823158,40.4215533
28079008,02,14,2019,28,28.322580645161292,-3.6823158,40.4215533
28079008,03,14,2019,28,50.483870967741936,-3.6823158,40.4215533
28079008,04,14,2019,28,57.32258064516129,-3.6823158,40.4215533
28079008,05,14,2019,28,60.354838709677416,-3.6823158,40.4215533
28079008,06,14,2019,28,62.54838709677419,-3.6823158,40.4215533
28079008,07,14,2019,28,67.38709677419355,-3.6823158,40.4215533
28079008,08,14,2019,28,42.225806451612904,-3.6823158,40.4215533
28079008,09,14,2019,28,47.61290322580645,-3.6823158,40.4215533
28079008,10,14,2019,28,27.129032258064516,-3.6823158,40.4215533
28079008,11,14,2019,28,30.06451612903226,-3.6823158,40.4215533
28079008,12,14,2019,28,22.0,-3.6823158,40.4215533
28079008,01,20,2019,28,3.983870967741935,-3.6823158,40.4215533
28079008,02,20,2019,28,3.1741935483870973,-3.6823158,40.4215533
28079008,03,20,2019,28,2.061290322580645,-3.6823158,40.4215533
28079008,04,20,2019,28,1.4677419354838712,-3.6823158,40.4215533
28079008,05,20,2019,28,2.7774193548387096,-3.6823158,40.4215533
28079008,06,20,2019,28,3.109677419354838,-3.6823158,40.4215533
28079008,07,20,2019,28,1.6870967741935483,-3.6823158,40.4215533
28079008,08,20,2019,28,2.5935483870967744,-3.6823158,40.4215533
28079008,09,20,2019,28,3.92258064516129,-3.6823158,40.4215533
28079008,10,20,2019,28,4.570967741935483,-3.6823158,40.4215533
28079008,11,20,2019,28,2.229032258064516,-3.6823158,40.4215533
28079008,12,20,2019,28,2.5870967741935487,-3.6823158,40.4215533
28079008,01,30,2019,28,1.2580645161290323,-3.6823158,40.4215533
28079008,02,30,2019,28,0.9193548387096772,-3.6823158,40.4215533
28079008,03,30,2019,28,0.6838709677419356,-3.6823158,40.4215533
28079008,04,30,2019,28,0.4774193548387097,-3.6823158,40.4215533
28079008,05,30,2019,28,0.36774193548387096,-3.6823158,40.4215533
28079008,06,30,2019,28,0.38387096774193563,-3.6823158,40.4215533
28079008,07,30,2019,28,0.32580645161290334,-3.6823158,40.4215533
28079008,08,30,2019,28,0.3967741935483871,-3.6823158,40.4215533
28079008,09,30,2019,28,0.635483870967742,-3.6823158,40.4215533
28079008,10,30,2019,28,0.8483870967741934,-3.6823158,40.4215533
28079008,11,30,2019,28,0.6193548387096774,-3.6823158,40.4215533
28079008,12,30,2019,28,0.9064516129032257,-3.6823158,40.4215533
28079008,01,35,2019,28,0.603225806451613,-3.6823158,40.4215533
28079008,02,35,2019,28,0.43225806451612897,-3.6823158,40.4215533
28079008,03,35,2019,28,0.26129032258064516,-3.6823158,40.4215533
28079008,04,35,2019,28,0.31612903225806455,-3.6823158,40.4215533
28079008,05,35,2019,28,0.2967741935483871,-3.6823158,40.4215533
28079008,06,35,2019,28,0.2,-3.6823158,40.4215533
28079008,07,35,2019,28,0.1935483870967742,-3.6823158,40.4215533
28079008,08,35,2019,28,1.812903225806452,-3.6823158,40.4215533
28079008,09,35,2019,28,2.351612903225807,-3.6823158,40.4215533
28079008,10,35,2019,28,3.3451612903225807,-3.6823158,40.4215533
28079008,11,35,2019,28,1.0967741935483872,-3.6823158,40.4215533
28079008,12,35,2019,28,0.9451612903225808,-3.6823158,40.4215533
28079008,01,42,2019,28,1.8741935483870968,-3.6823158,40.4215533
28079008,02,42,2019,28,1.5680645161290323,-3.6823158,40.4215533
28079008,03,42,2019,28,1.6493548387096773,-3.6823158,40.4215533
28079008,04,42,2019,28,1.503870967741935,-3.6823158,40.4215533
28079008,05,42,2019,28,1.5583870967741935,-3.6823158,40.4215533
28079008,06,42,2019,28,1.5525806451612902,-3.6823158,40.4215533
28079008,07,42,2019,28,1.4764516129032257,-3.6823158,40.4215533
28079008,08,42,2019,28,1.0274193548387096,-3.6823158,40.4215533
28079008,09,42,2019,28,1.6412903225806452,-3.6823158,40.4215533
28079008,10,42,2019,28,1.751935483870968,-3.6823158,40.4215533
28079008,11,42,2019,28,1.6,-3.6823158,40.4215533
28079008,12,42,2019,28,1.7012903225806453,-3.6823158,40.4215533
28079008,01,43,2019,28,1.738709677419355,-3.6823158,40.4215533
28079008,02,43,2019,28,1.4680645161290322,-3.6823158,40.4215533
28079008,03,43,2019,28,1.5761290322580648,-3.6823158,40.4215533
28079008,04,43,2019,28,1.4496774193548387,-3.6823158,40.4215533
28079008,05,43,2019,28,1.493870967741935,-3.6823158,40.4215533
28079008,06,43,2019,28,1.4703225806451614,-3.6823158,40.4215533
28079008,07,43,2019,28,1.4103225806451614,-3.6823158,40.4215533
28079008,08,43,2019,28,0.8506451612903226,-3.6823158,40.4215533
